Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",88.500000,-68.000000,-90.000000,top
"BZ1","Buzzer","MagneticBuzzer_CUI_CMT-8504-100-SMT",131.000000,-71.500000,180.000000,top
"C1","0.1uF","C_0402_1005Metric",119.500000,-52.020000,90.000000,top
"C2","1uF","C_0402_1005Metric",121.000000,-52.010000,-90.000000,top
"C3","0.1uF","C_0402_1005Metric",101.000000,-52.500000,90.000000,top
"C4","22uF","C_0402_1005Metric",98.000000,-52.480000,90.000000,top
"C5","0.1uF","C_0402_1005Metric",99.500000,-52.480000,90.000000,top
"C6","1uF","C_0402_1005Metric",136.000000,-53.000000,-90.000000,top
"C7","1uF","C_0402_1005Metric",96.567500,-70.775000,0.000000,top
"C8","1uF","C_0402_1005Metric",134.500000,-53.000000,-90.000000,top
"C9","1uF","C_0402_1005Metric",96.587500,-69.450000,0.000000,top
"C10","1uF","C_0402_1005Metric",128.770000,-64.500000,0.000000,top
"C11","1uF","C_0402_1005Metric",129.750000,-58.500000,0.000000,top
"C20","4.7uF","C_0402_1005Metric",109.000000,-69.500000,0.000000,top
"C21","4.7uF","C_0402_1005Metric",112.500000,-72.500000,90.000000,top
"D1","D","D_SOD-123F",93.087500,-72.450000,180.000000,top
"D2","D","D_SOD-123F",93.142500,-66.450000,180.000000,top
"D3","LED CHRG ","LED_0603_1608Metric",110.000000,-76.000000,0.000000,top
"D4","LED","LED_0603_1608Metric",123.000000,-57.000000,180.000000,top
"D5","LED","LED_0603_1608Metric",122.987500,-60.800000,180.000000,top
"D6","LED","LED_0603_1608Metric",123.000000,-59.000000,180.000000,top
"D7","LED","LED_0603_1608Metric",98.725000,-69.275000,90.000000,top
"D8","D","D_SOD-123F",138.022500,-63.977500,90.000000,top
"D11","LED","LED_0603_1608Metric",134.500000,-55.000000,180.000000,top
"MCP73831T1","~","SOT95P270X145-5N",110.000000,-72.500000,90.000000,top
"Q2","BC547","TO-92_Inline",138.270000,-58.780000,180.000000,top
"R1","5.1k","R_0402_1005Metric",90.000000,-52.500000,0.000000,top
"R2","5.1k","R_0402_1005Metric",90.000000,-51.000000,180.000000,top
"R3","10k","R_0402_1005Metric",122.500000,-52.010000,-90.000000,top
"R4","1k","R_0402_1005Metric",120.400000,-57.000000,0.000000,top
"R5","1k","R_0402_1005Metric",120.400000,-60.800000,0.000000,top
"R6","1k","R_0402_1005Metric",120.400000,-58.900000,0.000000,top
"R7","1k","R_0402_1005Metric",96.587500,-67.950000,0.000000,top
"R8","180","R_0402_1005Metric",136.000000,-64.000000,90.000000,top
"R9","2k","R_0402_1005Metric",111.000000,-69.500000,180.000000,top
"R10","5.1k","R_0402_1005Metric",92.337500,-62.500000,0.000000,top
"R11","5.1k","R_0402_1005Metric",92.262500,-57.000000,0.000000,top
"R12","470","R_0402_1005Metric",107.500000,-72.500000,90.000000,top
"R13","1k","R_0402_1005Metric",133.000000,-52.980000,-90.000000,top
"R14","1k","R_0402_1005Metric",131.020000,-64.500000,180.000000,top
"S1","JS102011JAQN","SW_JS102011JAQN",86.500000,-50.000000,-90.000000,top
"SW1","~","rockerSwitch-434133025816",120.500000,-48.000000,90.000000,top
"SW2","~","rockerSwitch-434133025816",99.500000,-48.500000,-90.000000,top
"U1","ESP32-S3-MINI-1-N8","XCVR_ESP32-S3-MINI-1-N8",110.000000,-58.000000,0.000000,top
"U2","LP5907MFX-3.3","SOT-23-5",93.362500,-69.450000,0.000000,top
"U3","LP5907MFX-2.5","SOT-23-5",134.500000,-49.500000,-90.000000,top
"U4","TXB0108RGY","Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm",129.770000,-61.500000,90.000000,top
"USB4105-GF-A1","~","GCT_USB4105-GF-A",84.837500,-60.000000,-90.000000,top
